file,headline,fr,de,es,ru,is_fake
007fake.txt,Jennifer Aniston on the Exact Moment She Had It With the Pregnancy Rumors,Jennifer Aniston au moment exact où elle a eu avec les rumeurs de grossesse.,"Jennifer Aniston in dem Moment, in dem sie es mit den Schwangerschaftsgerüchten hatte.",Jennifer Aniston en el momento exacto que lo tuvo con los rumores de embarazo.,"Дженнифер Энистон в тот момент, когда у нее есть слухи о беременности.",1
022fake.txt,Taylor Swift 'files documents to launch streaming service',Taylor Swift «Documents de fichiers pour lancer le service de streaming».,"Taylor Swift 'Dateien dokumentiert, um den Streaming -Dienst zu starten'.",Taylor Swift 'archiva documentos para iniciar el servicio de transmisión'.,Taylor Swift 'Files Documents для запуска потоковой службы'.,1
009fake.txt,Miley Cyrus Wedding Rumors: Will Miley Force Liam Hemsworth To Sign A Prenup?,Miley Cyrus Rumeurs de mariage: Miley forcera-t-elle Liam Hemsworth à signer un contrat de contrat?.,"Miley Cyrus Hochzeitsgerüchte: Wird Miley Liam Hemsworth dazu zwingen, ein Prenup zu unterschreiben?.",Rumores de boda de Miley Cyrus: ¿Miley forzará a Liam Hemsworth firmar un prenupc?.,Свадебные слухи Майли Сайрус: Сможет ли Майли Форс Лиам Хемсворт подписать премьер?.,1
024fake.txt,Justin Bieber pokes fun at himself after stepping out with an wet mark,Justin Bieber se moque de lui-même après avoir quitté une marque humide.,"Justin Bieber macht sich lustig an sich, nachdem er mit einer nassen Marke ausgetreten ist.",Justin Bieber se burla de sí mismo después de salir con una marca húmeda.,"Джастин Бибер высмеивает себя после того, как вышел с влажной отметки.",1
002fake.txt,Brad Pitt Texts Jennifer Aniston Nonstop: Seeks Intense Emotional Support After Angelina Jolie Divorce! | Celeb Dirty Laundry,Brad Pitt envoie des SMS à Jennifer Aniston sans escale: cherche un soutien émotionnel intense après le divorce d'Angelina Jolie! | Laverie sale de célébrité.,Brad Pitt Texte Jennifer Aniston Nonstop: sucht intensive emotionale Unterstützung nach der Scheidung von Angelina Jolie! | Promi Dirty Wäsche.,Brad Pitt texts Jennifer Aniston Nonstop: ¡busca un intenso apoyo emocional después de Angelina Jolie Divorce! | Celeb Dirty Laundry.,Брэд Питт текстов Дженнифер Энистон Неустановка: ищет интенсивную эмоциональную поддержку после развода Анджелины Джоли! | Знаменитость грязное прачечная.,1
014fake.txt,Kanye West -- 'Nervous Breakdown',KANYE WEST - «Débarquement nerveux».,Kanye West - 'Nervenzusammenbruch'.,Kanye West - 'Guponado nervioso'.,Канье Уэст - «нервный срыв».,1
021fake.txt,Are Taylor Swift and Jake Gyllenhaal Dating Again?,Taylor Swift et Jake Gyllenhaal se dressent à nouveau?.,Sind Taylor Swift und Jake Gyllenhaal wieder zusammen?.,¿Taylor Swift y Jake Gyllenhaal salen de nuevo?.,Тейлор Свифт и Джейк Джилленхал снова встречаются?.,1
013fake.txt,Kanye West Wants to Enter Cosmetics Business Like Kylie,Kanye West veut entrer dans le secteur des cosmétiques comme Kylie.,Kanye West will wie Kylie Kosmetikgeschäft betreten.,Kanye West quiere ingresar a un negocio de cosméticos como Kylie.,"Канье Уэст хочет войти в косметический бизнес, как Кайли.",1
010fake.txt,Kristen Stewart Drops 'Twilight' Movie Plans With Robert Pattinson: Lands New Role In 'Underwater' Thriller | Celeb Dirty Laundry,Kristen Stewart laisse tomber les plans de films «Twilight» avec Robert Pattinson: Lands nouveau rôle dans le thriller «Underwater» | Laverie sale de célébrité.,Kristen Stewart Drops 'Twilight' Filmpläne mit Robert Pattinson: Lands neue Rolle in 'Underwater' Thriller | Promi Dirty Wäsche.,Kristen Stewart presenta planes de películas 'Crepúsculo' con Robert Pattinson: Tierra un nuevo papel en el thriller 'submarino' | Celeb Dirty Laundry.,Кристен Стюарт бросает планы фильмов «Сумерки» с Робертом Паттинсоном: приземляется новая роль в «подводном» триллере | Знаменитость грязное прачечная.,1
012fake.txt,Kanye West Was Designing Looks For Melania Trump On Inauguration Day Before Breakdown,Kanye West concevait Looks pour Melania Trump le jour de l'inauguration avant la panne.,Kanye West suchte nach Melania Trump am Einweihungstag vor dem Zusammenbruch.,Kanye West estaba diseñando Looks para Melania Trump el día de la inauguración antes del desglose.,Канье Уэст разрабатывал поиски Мелании Трамп в день инаугурации перед сбоем.,1
023fake.txt,Justin Bieber Parties At Same Grammy Event As Ex Selena Gomez & The Weeknd,Les fêtes Justin Bieber à un même événement Grammy que Ex Selena Gomez.,Justin Bieber Partys bei derselben Grammy -Veranstaltung wie Ex Selena Gomez.,Justin Bieber Fiesties en el mismo evento Grammy que ex Selena Gomez.,"Джастин Бибер вечеринки на том же мероприятии Грэмми, что и бывшая Селена Гомес.",1
018fake.txt,Will Kim Kardashian Divorce Kanye West?,Kim Kardashian divorcera-t-il Kanye West?.,Wird die Scheidung von Kim Kardashian Kanye West?.,¿El divorcio de Kim Kardashian Kanye West?.,Будет ли Ким Кардашьян развод Канье Уэст?.,1
011fake.txt,Jennifer Lopez & A-Rod Wedding On The Way? He Wants To Marry Her,Jennifer Lopez.,Jennifer Lopez.,Jennifer López.,Дженнифер Лопез.,1
019fake.txt,Kim Kardashian Reportedly Cheating With Marquette King as She Gears up for Divorce From Kanye West,Kim Kardashian aurait triché avec Marquette King alors qu'elle se prépare pour divorcer de Kanye West.,"Kim Kardashian betrügt angeblich mit Marquette King, als sie sich auf die Scheidung von Kanye West vorbereitet.","Según los informes, Kim Kardashian engaña con Marquette King mientras se prepara para el divorcio de Kanye West.","Ким Кардашьян, как сообщается, обманывает с Маркеттом Кингом, когда она готовится к разводу с Канье Уэстом.",1
003fake.txt,Jennifer Aniston Pregnant With 'Miracle Baby' At 47? - Report,Jennifer Aniston enceinte de «Miracle Baby» à 47 ans? - Rapport.,Jennifer Aniston schwanger mit 'Miracle Baby' bei 47? - Bericht.,¿Jennifer Aniston embarazada de 'Miracle Baby' a los 47? - Informe.,Дженнифер Энистон беременна «чудо -ребенком» в 47? - Отчет.,1
